id./;steamID./;name./;price./;short_descritiption./;genres./;publishers./;roda_linux./;release_date
23./;570./;Dota 2./;0./;Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own../;Valve./;Action/Free to Play/Strategy./;Sim./;9/7/2013
24./;620./;Portal 2./;9.99./;The 'Perpetual Testing Initiative' has been expanded to allow you to design co-op puzzles for you and your friends!./;Valve./;Action/Adventure./;Sim./;18/4/2011
25./;630./;Alien Swarm./;0./;Co-operative multiplayer game and complete code base available for free../;Valve./;Action./;Nao./;19/7/2010
26./;659./;Portal 2./;9.99./;The 'Perpetual Testing Initiative' has been expanded to allow you to design co-op puzzles for you and your friends!./;Valve./;Action/Adventure./;Sim./;18/4/2011
27./;730./;Counter-Strike: Global Offensive./;0./;Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.)../;Valve./;Action/Free to Play./;Sim./;21/8/2012
28./;1002./;Rag Doll Kung Fu./;0.99./;A piece of Steam history - THE FIRST EVER NON VALVE GAME TO APPEAR ON THE STEAM PLATFORM!./;Mark Healey./;Indie./;Nao./;12/10/2005
29./;1200./;Red Orchestra: Ostfront 41-45./;4.99./;Fight in the theatre of war that changed the world forever. Battle alongside your compatriots on some of the most inhospitable environments of the Eastern Front in Red Orchestra: Ostfront 41-45. Red Orchestra places you in the most realistic WWII first-person multi-player combat to date on the PC, allowing the player to fight through..../;Tripwire Interactive./;Action./;Sim./;14/3/2006
30./;1250./;Killing Floor./;19.99./;6-player co-op survival horror at its finest! Free updates, free special events and a ridiculous amount of fun!./;Tripwire Interactive./;Action./;Sim./;14/5/2009
31./;1300./;SiN Episodes: Emergence./;9.99./;You are John Blade, commander of HardCorps, an elite security force dedicated to protecting the people of Freeport City. Four years have passed since your first battle with Elexis Sinclaire, a beautiful, brilliant, and ruthless scientist who is out to remake humanity according to her own twisted vision../;Ritual Entertainment./;Action./;Nao./;10/5/2006
32./;1313./;SiN: Gold./;9.99./;SiN: Gold has returned! Free update for original owners!./;Nightdive Studios./;Action./;Nao./;18/3/2020
33./;1500./;Darwinia./;9.99./;Combining fast-paced action with strategic battle planning, Darwinia features a novel and intuitive control mechanism, a graphical style ripped from 80's retro classics like Tron and Defender, and a story concerning a tribe of nomadic sprites trapped in a modern 3D world../;Introversion Software./;Indie/Strategy./;Sim./;14/7/2005
34./;1510./;Uplink./;9.99./;You play an Uplink Agent who makes a living by performing jobs for major corporations. Your tasks involve hacking into rival computer systems, stealing research data, sabotaging other companies, laundering money, erasing evidence, or framing innocent people../;Introversion Software./;Indie/Strategy./;Sim./;23/8/2006
35./;1520./;DEFCON./;9.99./;Inspired by the 1983 cult classic film, Wargames, DEFCON superbly evokes the tension, paranoia and suspicion of the Cold War era, playing on the fascinating aspects of psychological gameplay that occur during strategic nuclear warfare. You play a General hidden deep within an underground bunker../;Introversion Software./;Indie/Strategy./;Sim./;29/9/2006
36./;1530./;Multiwinia./;9.99./;'Long ago a computer scientist called Dr Sepulveda created a beautiful digital world existing entirely within a computer network of his own invention. This world was called Darwinia and it was inhabited by a peaceful, law-abiding digital life-form called the Darwinians../;Introversion Software./;Indie./;Nao./;19/9/2008
37./;1600./;Dangerous Waters./;2.99./;S.C.S. - Dangerous Waters allows you total control over multiple air, surface, and submarine platforms in a modern-day naval environment. Take direct control of individual crew stations and also plan and execute combined arms naval strategies from a top-down 'Commanders Eye' perspective../;Strategy First./;Strategy./;Nao./;7/2/2006
38./;1610./;Space Empires IV Deluxe./;9.99./;The award-winning Space Empires IV Deluxe is the latest edition in the Space Empires series. A grand strategy title in the space 4X (explore, expand, exploit, and exterminate) genre, Space Empires has already found a place in the heart of strategy gamers everywhere../;Strategy First./;Strategy./;Nao./;7/2/2006
39./;1620./;Jagged Alliance 2 Gold./;19.99./;The small country of Arulco has been taken over by a merciless dictator - and only you can loosen the iron grip! Jagged Alliance 2 Gold Pack immerses you into an elaborate role-playing universe where you will interact with more than 150 characters, recruit your own band of soldiers and create your own custom mercenary to win back Arulco..../;Strategy First./;Strategy./;Nao./;6/7/2006
40./;1630./;Disciples II: Rise of the Elves./;6.99./;The award-winning series Disciples introduced a milestone in the game's very successful history; the introduction of a new race: The Elves. The Elven Race added a new dimension to the game and added countless hours of gameplay. Now that series has expanded further with Disciples II: Rise Of The Elves../;Strategy First./;Strategy./;Nao./;6/7/2006
41./;1640./;Disciples II: Gallean's Return./;1.39./;Disciples II: Gallean's Return is a compilation edition that includes the base game, Disciples II: Dark Prophecy, plus the two standalone expansions Disciples II: Guardians of the Light and Disciples II: Servants of the Dark../;Strategy First./;Strategy./;Nao./;6/7/2006
42./;1670./;Iron Warriors: T - 72 Tank Command./;0.99./;The most devastating mechanized armor to ever roll onto a battlefield is brought to life in Iron Warriors: T72-Tank Command. This epic combat simulator allows the player to command an entire platoon of tanks and ALL associated support units, or assume the role of ANY member in a complete tank crew!./;Strategy First./;Strategy./;Nao./;26/7/2006
43./;1690./;Space Empires V./;14.99./;Space Empires V is the latest edition in the Space Empires series. This new chapter completely updates the UI and takes the player into a real-time rendered 3D universe. Watch space battles played out in glorious detail and realistic effects. Expand, Explore, Exploit, and Exterminate in a huge living breathing galaxy../;Strategy First./;Strategy./;Nao./;16/10/2006
44./;1700./;Arx Fatalis./;4.99./;This critically acclaimed first-person RPG from Arkane Studios takes the player on an amazing journey into the fantasy world of Arx. Arx is wrought with turmoil, brought to the brink of destruction by a violent war../;Arkane Studios./;RPG./;Nao./;3/4/2007
45./;1840./;Source Filmmaker./;0./;The Source Filmmaker (SFM) is the movie-making tool built and used by us here at Valve to make movies inside the Source game engine. Because the SFM uses the same assets as the game, anything that exists in the game can be used in the movie, and vice versa../;Valve./;Animation & Modeling/Video Production./;Nao./;10/7/2012
46./;1900./;Earth 2160./;1.49./;After the destruction of the EARTH in 2150, the leaders of the Eurasian Dynasty escaped on board an evacuation fleet. Now they are fighting for the survival of the human species. Their base is one large building comprising of smaller variable parts../;Topware Interactive/ACE./;Strategy./;Sim./;1/4/2006
47./;1930./;Two Worlds Epic Edition./;2.49./;... 300 years after Aziraal has been banished, a brother and sister are drawn into the conflict which has flared up between the Orcs and the free world. Kyra, the hero's younger sister, suddenly disappears in mysterious circumstances.«...If my family really belongs to the chosen ones, why then have we always been as poor as church mice?./;Topware Interactive./;RPG./;Sim./;30/4/2009
48./;2100./;Dark Messiah of Might & Magic./;9.99./;Discover a new breed of Action-RPG game powered by an enhanced version of the Source™ Engine by Valve. Set in the Might &amp; Magic® universe, players will experience ferocious combat in a dark and immersive fantasy environment. Swords, Stealth, Sorcery. Choose your way to kill../;Ubisoft./;Action/RPG./;Nao./;25/10/2006
49./;2130./;Dark Messiah of Might & Magic./;9.99./;Discover a new breed of Action-RPG game powered by an enhanced version of the Source™ Engine by Valve. Set in the Might &amp; Magic® universe, players will experience ferocious combat in a dark and immersive fantasy environment. Swords, Stealth, Sorcery. Choose your way to kill../;Ubisoft./;Action/RPG./;Nao./;25/10/2006
50./;2200./;Quake III Arena./;14.99./;Welcome to the Arena, where high-ranking warriors are transformed into spineless mush. Abandoning every ounce of common sense and any trace of doubt, you lunge onto a stage of harrowing landscapes and veiled abysses../;id Software./;Action./;Nao./;3/8/2007
51./;2210./;Quake 4./;14.99./;The latest chapter in the Quake series is now on Steam!./;Bethesda Softworks./;Action./;Nao./;4/8/2011
52./;2270./;Wolfenstein 3D./;4.99./;Maybe it was the fact that people got to blow away Nazis. Maybe it was the sheer challenge of it all. For whatever reason, Wolfenstein 3D and Spear of Destiny, pioneered the first-person shooter genre and brought its legendary creators, id Software, worldwide notoriety and numerous awards../;Bethesda-Softworks./;Action./;Nao./;3/8/2007
53./;2280./;Ultimate Doom./;4.99./;The complete megahit game that set the world afire. Plus All-New Episode IV: Thy Flesh Consumed. The demons came and the marines died. Except one. You are the last defense against these hell-spawned hordes. Prepare for the most intense mutant-laden, blood-splattered action ever!./;id Software./;Action./;Nao./;3/8/2007
54./;2290./;Final DOOM./;4.99./;Two New, 32-Level DOOM II Episodes. Evilution: Far from earth, the UAC recommenced their experiments on on of the moons of Jupiter. A spaceship, mistaken for a supply vexxel on radar, hovered above the base. Hideous demons poured out, blanketing the base with death. All your comrades were quickly slaughtered or zombified../;id Software./;Action./;Nao./;3/8/2007
55./;2300./;DOOM II./;4.99./;Let the Obsession begin. Again. This time, the entire forces of the netherworld have overrun Earth. To save her, you must descend into the stygian depths of Hell itself! Battle mightier, nastier, deadlier demons and monsters. Use more powerful weapons../;id Software./;Action./;Nao./;3/8/2007
56./;2310./;QUAKE./;9.99./;Developed by the award-winning id Software, Quake® is the ground-breaking, original dark fantasy first-person shooter that inspires today’s retro-style FPS games. With Quake (Enhanced), experience the authentic, updated, and visually enhanced version of the original../;Bethesda Softworks./;Action./;Nao./;3/8/2007
57./;2320./;QUAKE II./;4.99./;Shortly after landing on an alien surface, you learn that hundreds of your men have been reduced to just a few. Now you must fight your way through heavily fortified military installations, lower the city's defenses and shut down the enemy's war machine. Only then will the fate of humanity be known../;id Software./;Action./;Nao./;3/8/2007
58./;2330./;QUAKE II Mission Pack: The Reckoning./;2.99./;You are part of an elite commando force that must infiltrate a hostile alien cite. Once inside, you must scour industrial landscapes, crawl through waterways and air ducts, navigate treacherous canyons teeming with vicious mutants, stow away on an alien spacecraft, and destroy the enemy's secret moon base../;id Software./;Action./;Nao./;3/8/2007
59./;2340./;QUAKE II Mission Pack: Ground Zero./;2.99./;Take out the Big Gun sounded simple enough, except the Strogg were waiting. You, and a few marines like you, are the lucky ones. You've made it down in one piece and are still able to contact the fleet. The Gravity Well, the Strogg's newest weapon in its arsenal against mankind, is operational../;id Software./;Action./;Nao./;3/8/2007
60./;2350./;QUAKE III: Team Arena./;14.99./;Never before have the forces aligned. United by name and by cause, The Fallen, Pagans, Crusaders, Intruders, and Stroggs must channel their power into an allied operation where teamwork is the only method of mass destruction. Four distinct games test each troop's synthesis and strength to exacting degrees../;id Software./;Action./;Nao./;3/8/2007
61./;2360./;HeXen: Beyond Heretic./;4.99./;While you were battling the evil forces of D'Sparil, the other Serpent Riders were busy sowing the seeds of destruction in other dimensions. One such dimension is the decaying world where Hexen takes place. A world littered with the mangled corpses of nonbelievers and inhabited by the undead followers that executed them../;id Software./;Action./;Nao./;3/8/2007
62./;2370./;HeXen: Deathkings of the Dark Citadel./;4.99./;Where HeXen Ends, the True Nightmare Begins. Deathkings of the Dark Citadel is the only official expansion of the original HeXen game. This add-on pack features 20 new single player levels from the original HeXen team as well as a host of new multiplayer options../;id Software./;Action./;Nao./;3/8/2007
63./;2390./;Heretic: Shadow of the Serpent Riders./;4.99./;In a twisted medieval dimension, undead creatures and bestial horrors have done the unthinkable--callously slaughtering your entire race. Your friends. Your family. Eliminated. But the nightmare has just begun../;id Software./;Action./;Nao./;3/8/2007
64./;2400./;The Ship: Murder Party./;9.99./;The Ship is a murder mystery multiplayer../;Blazing Griffin./;Action/Indie/RPG./;Nao./;11/7/2006
65./;2420./;The Ship: Single Player./;0./;The Ship is a murder mystery alternative to traditional FPS multiplayer games - hunt and be hunted! Package includes multiplayer, single player and tutorial../;Blazing Griffin Ltd../;Action/Indie/RPG./;Nao./;20/11/2006
66./;2450./;Bloody Good Time./;4.99./;Congratulations, you’ve just been cast in your first slasher movie by the notorious Director X!./;Ubisoft./;Action./;Nao./;29/10/2010
67./;2500./;Shadowgrounds./;6.99./;Shadowgrounds breathes fresh air into the action genre with explosive combat sequences, an innovative weapon upgrade system, and an intriguing storyline. The adrenaline-pumping, top-down gameplay and audiovisual fireworks set the scene for this new action experience which also includes single computer (split keyboard or joystick) co-op..../;Frozenbyte./;Action./;Nao./;8/5/2006
68./;2520./;Gumboy - Crazy Adventures™./;4.99./;Gumboy has fun and novel gameplay set in a richly imagined world. With simple game controls, Gumboy lets the player bounce, roll, float, and fly through the world. Additionally, Gumboy can change size, shape and material../;CINEMAX, s.r.o../;Casual/Indie./;Nao./;19/12/2006
69./;2525./;Gumboy - Crazy Adventures™./;4.99./;Gumboy has fun and novel gameplay set in a richly imagined world. With simple game controls, Gumboy lets the player bounce, roll, float, and fly through the world. Additionally, Gumboy can change size, shape and material../;CINEMAX, s.r.o../;Casual/Indie./;Nao./;19/12/2006
70./;2540./;RIP - Trilogy™./;4.99./;With the completion of the third title in the RIP series, the RIP games have become an instant classic in the arcade-shooter genre. RIP  Trilogy brings all three RIP titles into one exciting and heart-pounding pack.RIPNot afraid of Death? What if he is accompanied by Halloween and Rock-N-Roll?./;./;Casual/Indie./;Nao./;1/6/2007
71./;2545./;RIP - Trilogy™./;4.99./;With the completion of the third title in the RIP series, the RIP games have become an instant classic in the arcade-shooter genre. RIP  Trilogy brings all three RIP titles into one exciting and heart-pounding pack.RIPNot afraid of Death? What if he is accompanied by Halloween and Rock-N-Roll?./;./;Casual/Indie./;Nao./;1/6/2007
72./;2550./;RIP - Trilogy™./;4.99./;With the completion of the third title in the RIP series, the RIP games have become an instant classic in the arcade-shooter genre. RIP  Trilogy brings all three RIP titles into one exciting and heart-pounding pack.RIPNot afraid of Death? What if he is accompanied by Halloween and Rock-N-Roll?./;./;Casual/Indie./;Nao./;1/6/2007
73./;2570./;Vigil: Blood Bitterness™./;0./;Vigil: Blood Bitterness plunges you into the dark and disturbing story of an ancient civilization where you must reveal the secrets of your past and exact revenge on the Evil destroying your universe. Ritualistic killings and blood lust blur the line between your own kind and the Evil you seek to annihilate../;./;Indie/RPG./;Nao./;29/6/2007
74./;2590./;Alpha Prime./;4.99./;Somewhere in deep space, at an apparently abandoned mining base on the asteriod Alpha Prime, something has gone terribly wrong. Miners were warned that the hubbardium they were mining was too dangerous, but the lure of unimaginable wealth was too strong../;Bohemia Interactive./;Action./;Nao./;7/11/2007
75./;2600./;Vampire: The Masquerade - Bloodlines./;19.99./;Vampire®: The Masquerade-Bloodlines™ delivers a new type of RPG experience-one that blends all the core elements of a traditional RPG with the graphical richness, immediacy and brutal combat of a first-person action game. The game plunges players into the dark and gritty vampire underworld of modern-day L.A. as a creature of the night../;Activision./;Action./;Nao./;22/3/2007
76./;2610./;GUN™./;19.99./;When life robs Colton White of all that matters, the only thing left he can trust is his GUN. From award-winning developer, Neversoft, and accomplished screenwriter, Randall Jahnson (The Mask of Zorro, The Doors), GUN follows Colton on his quest for discovery as he seeks to exact vengeful justice on those who have wronged him../;Activision./;Action./;Nao./;13/10/2006
77./;2620./;Call of Duty®./;19.99./;Call of Duty® delivers the gritty realism and cinematic intensity of World War II's epic battlefield moments like never before - through the eyes of citizen soldiers and unsung heroes from an alliance of countries who together helped shape the course of modern history../;Activision./;Action./;Nao./;13/10/2006
78./;2630./;Call of Duty® 2./;19.99./;Call of Duty® 2 redefines the cinematic intensity and chaos of battle as seen through the eyes of ordinary soldiers fighting together in epic WWII conflicts. The sequel to 2003's Call of Duty, winner of over 80 Game of the Year awards, Call of Duty 2 offers more immense, more intense, more realistic battles than ever before, thanks to..../;Activision./;Action./;Nao./;13/10/2006
79./;2640./;Call of Duty: United Offensive./;19.99./;Award-winning developer Gray Matter Interactive follows up on the success of Infinity Ward's Call of Duty™ - winner of over 80 Game of the Year and 50 Editors' Choice awards worldwide - with Call of Duty™: United Offensive™../;Activision./;Action./;Nao./;13/10/2006
80./;2700./;RollerCoaster Tycoon® 3: Platinum./;0./;Rollercoaster Tycoon 3 Platinum combines the excitement of rollercoasters with the fun of a great strategy simulation. RCT3 Platinum combines the roller coaster theme park fun of the Roller Coaster Tycoon 3 with included expansion packs Soaked! and Wild! Now enjoy more options than ever../;Frontier/Aspyr (Mac)./;Simulation/Strategy./;Nao./;12/3/2008
81./;2710./;Act of War: Direct Action./;2.99./;Tomorrow's War Is NOW Ripped from today's headlines, Act of War: Direct Action™ is a frightening tale of suspense, international intrigue and geopolitical military conflict. This real-time strategy experience puts you squarely in control of counterterrorist forces and delivers a first look at tomorrow's war../;THQ Nordic./;Action./;Nao./;12/3/2008
82./;2720./;ThreadSpace: Hyperbol./;4.99./;ThreadSpace: Hyperbol is an action-strategy game set in the distant future. Players battle each other on roads in space as they pilot massive ships capable of firing a wide variety of weapons. Create defenses, coordinate with your team, and launch an assault against your opponents to achieve victory!./;./;Action/Indie/Strategy./;Nao./;12/7/2007
83./;2780./;ARMA: Combat Operations./;7.99./;Sequel to the highly successful Operation Flashpoint, ARMA: Combat Operations is a first person tactical military shooter on the PC with large elements of realism and simulation. This game features a blend of large-scale military conflict spread across large areas alongside the more close quartered battles../;Bohemia Interactive./;Action./;Nao./;12/3/2008
84./;2800./;X2: The Threat./;4.99./;X²: The Threat is of a new generation of space simulator games, you play the role of Julian Gardna who continues the story set by X: Beyond The Frontier. The updated graphics engine gives the universe a fresher feel with newly designed ships and stations adding to the complexity of the universe../;Egosoft./;Strategy./;Nao./;21/7/2006
85./;2810./;X3: Reunion./;9.99./;The Sequel to the award winning X²: The Threat introduces a new 3D engine as well as a new story, new ships and a new gameplay to greatly increase the variety in the X-universe. The economy of X³: Reunion is more complex than anything seen in the X-universe before../;Egosoft./;Strategy./;Sim./;21/7/2006
86./;2820./;X3: Terran Conflict./;15.99./;It is the year 2938. The long wished-for encounter of the X Universe and the Earth holds both joy and sorrow for the people. Despite flourishing trade, the clash of the diverse races, cultures and life forms creates new tensions, mistrust and open conflict that need to be overcome!./;Egosoft./;Action/Simulation/Strategy./;Sim./;16/10/2008
